Acedamic percentage in Operating Systems,percentage in Algorithms,Percentage in Programming Concepts,Percentage in Software Engineering,Percentage in Computer Networks,Percentage in Electronics Subjects,Percentage in Computer Architecture,Percentage in Mathematics,Percentage in Communication skills,Hours working per day,Logical quotient rating,hackathons,coding skills rating,public speaking points,can work long time before system?,self-learning capability?,Extra-courses did,certifications,workshops,talenttests taken?,olympiads,reading and writing skills,memory capability score,Interested subjects,interested career area ,Job/Higher Studies?,Type of company want to settle in?,Taken inputs from seniors or elders,interested in games,Interested Type of Books,Salary Range Expected,In a Realtionship?,Gentle or Tuff behaviour?,Management or Technical,Salary/work,hard/smart worker,worked in teams ever?,Introvert,Suggested Job Role
92,73,84,64,78,82,94,66,61,7,2,5,6,5,yes,yes,no,r programming,web technologies,yes,no,medium,excellent,networks,developer,higherstudies,Sales and Marketing,yes,no,Religion-Spirituality,Work,yes,gentle,Technical,salary,hard worker,yes,no,Database Developer
88,61,82,69,75,88,77,79,69,6,2,6,6,1,yes,yes,no,information security,web technologies,yes,no,poor,poor,IOT,testing,job,SAaS services,no,yes,Fantasy,salary,no,gentle,Technical,work,smart worker,no,no,Database Developer
61,80,81,81,68,63,72,71,83,11,9,2,8,1,no,yes,no,python,data science,yes,no,medium,poor,parallel computing,testing,higherstudies,Sales and Marketing,no,yes,Encyclopedias,Work,no,stubborn,Management,salary,smart worker,no,yes,Database Developer
73,79,81,72,92,70,84,89,75,10,7,1,6,9,yes,no,no,hadoop,database security,yes,no,excellent,poor,Software Engineering,system developer,higherstudies,Web Services,no,yes,Self help,Work,no,stubborn,Management,salary,hard worker,no,yes,Database Developer
84,69,63,78,71,94,82,79,80,10,3,5,5,5,yes,no,yes,full stack,hacking,no,no,excellent,poor,cloud computing,testing,higherstudies,BPA,no,no,Diaries,salary,yes,gentle,Technical,work,smart worker,no,yes,Database Developer
64,77,88,70,76,77,86,60,79,6,4,1,3,2,no,yes,yes,full stack,game development,no,no,medium,poor,networks,security,job,Testing and Maintainance Services,no,yes,Guide,salary,no,gentle,Technical,work,hard worker,yes,no,Database Developer
74,89,61,84,78,77,74,83,72,5,7,3,3,1,no,no,no,full stack,hacking,yes,yes,medium,excellent,Computer Architecture,developer,job,SAaS services,no,yes,Childrens,salary,no,stubborn,Technical,work,smart worker,no,yes,Database Developer
85,84,86,79,66,79,65,93,65,5,2,5,7,7,no,no,yes,information security,game development,yes,yes,excellent,poor,data engineering,testing,job,Product based,yes,no,Satire,Work,yes,gentle,Technical,salary,smart worker,yes,no,Database Developer
61,88,67,78,82,61,75,70,70,5,3,6,1,1,no,yes,no,distro making,cloud computing,yes,yes,medium,excellent,Computer Architecture,Business process analyst,higherstudies,Web Services,yes,yes,Journals,salary,no,gentle,Management,salary,hard worker,yes,no,Database Developer
69,64,76,72,65,82,77,65,80,11,9,2,3,4,yes,no,yes,r programming,data science,no,no,excellent,medium,networks,security,higherstudies,Product based,yes,no,Health,Work,yes,stubborn,Management,salary,smart worker,no,yes,Database Developer
81,66,61,87,73,65,78,63,78,6,7,4,6,7,yes,yes,yes,python,web technologies,no,yes,excellent,excellent,programming,developer,higherstudies,Product based,no,yes,Anthology,Work,no,stubborn,Management,work,hard worker,no,no,Database Developer
93,90,76,66,78,82,81,61,63,12,7,5,1,2,yes,no,yes,shell programming,data science,no,no,poor,excellent,cloud computing,Business process analyst,job,product development,yes,no,Self help,salary,no,stubborn,Technical,work,hard worker,yes,yes,Database Developer
75,87,93,85,75,60,66,82,86,5,7,3,4,6,no,no,no,r programming,hacking,no,no,excellent,poor,cloud computing,Business process analyst,job,Product based,no,no,Self help,salary,yes,gentle,Technical,salary,hard worker,no,yes,Database Developer
94,81,60,71,83,85,69,79,88,9,9,6,8,2,yes,no,yes,r programming,data science,no,no,excellent,medium,cloud computing,testing,higherstudies,Cloud Services,no,yes,Series,salary,no,stubborn,Management,work,smart worker,no,yes,Database Developer
83,68,89,77,63,85,91,63,68,9,1,1,6,3,yes,no,no,distro making,data science,no,no,excellent,poor,cloud computing,security,job,Testing and Maintainance Services,no,yes,Trilogy,salary,no,stubborn,Technical,salary,hard worker,yes,no,Database Developer
91,91,67,91,66,70,73,75,90,9,3,4,1,8,no,no,no,app development,data science,no,yes,excellent,medium,programming,system developer,job,Cloud Services,no,yes,Health,Work,no,stubborn,Management,salary,hard worker,no,yes,Database Developer
69,71,79,62,76,70,77,71,86,6,4,5,3,4,no,no,no,distro making,web technologies,yes,yes,excellent,excellent,Computer Architecture,testing,job,Product based,yes,yes,Satire,salary,no,stubborn,Technical,salary,hard worker,no,no,Database Developer
67,81,71,69,80,62,62,61,61,7,3,4,6,9,yes,yes,no,full stack,game development,no,no,medium,medium,IOT,security,job,Sales and Marketing,no,no,Science,salary,no,stubborn,Management,work,smart worker,no,yes,Database Developer
91,78,60,62,81,80,76,76,94,4,9,5,9,8,yes,yes,yes,r programming,testing,yes,yes,excellent,excellent,Software Engineering,system developer,job,Service Based,yes,yes,Diaries,Work,yes,gentle,Management,salary,smart worker,no,no,Database Developer
79,62,72,85,92,69,65,85,88,9,3,3,4,2,yes,no,no,full stack,testing,yes,yes,poor,excellent,data engineering,security,job,Service Based,no,no,Science fiction,Work,no,stubborn,Technical,work,smart worker,no,no,Database Developer
92,82,75,67,79,89,62,93,69,11,2,4,1,5,no,yes,no,python,cloud computing,yes,yes,excellent,medium,Software Engineering,developer,job,SAaS services,no,yes,Anthology,salary,no,gentle,Management,work,smart worker,no,yes,Database Developer
80,69,80,68,88,93,90,87,65,5,7,5,5,6,no,yes,no,hadoop,data science,yes,no,poor,medium,hacking,Business process analyst,higherstudies,Cloud Services,no,no,Dictionaries,salary,no,stubborn,Technical,salary,hard worker,yes,yes,Database Developer
73,72,65,84,74,82,85,70,87,5,3,3,5,4,yes,yes,yes,machine learning,game development,no,yes,poor,medium,parallel computing,security,higherstudies,Service Based,no,no,Comics,salary,yes,stubborn,Management,salary,smart worker,no,no,Database Developer
65,73,62,85,93,73,91,83,75,12,2,0,6,1,yes,no,no,hadoop,hacking,no,no,medium,medium,IOT,system developer,job,Web Services,no,no,Travel,salary,no,stubborn,Technical,work,smart worker,no,yes,Database Developer
82,79,65,72,83,85,60,80,73,12,9,6,4,9,yes,no,no,python,hacking,no,yes,excellent,medium,programming,security,higherstudies,Product based,no,no,Autobiographies,Work,yes,gentle,Technical,work,smart worker,no,no,Database Developer
91,62,80,68,90,88,75,70,64,4,8,0,7,2,yes,yes,yes,python,testing,no,no,medium,poor,Computer Architecture,Business process analyst,job,Web Services,no,yes,Autobiographies,salary,yes,stubborn,Management,work,hard worker,yes,yes,Database Developer
91,70,78,86,61,69,82,66,60,11,6,6,3,9,no,yes,no,machine learning,hacking,no,no,excellent,medium,Computer Architecture,Business process analyst,higherstudies,Web Services,no,no,Guide,salary,no,stubborn,Management,work,hard worker,no,no,Database Developer
80,60,64,77,68,83,77,88,86,5,1,0,6,8,yes,no,yes,machine learning,hacking,yes,no,medium,medium,IOT,Business process analyst,job,Testing and Maintainance Services,yes,no,Biographies,Work,yes,stubborn,Technical,salary,hard worker,yes,no,Database Developer
63,81,64,86,94,63,85,80,68,8,7,1,9,6,yes,no,yes,information security,game development,yes,yes,medium,medium,networks,cloud computing,job,Finance,no,yes,Trilogy,Work,yes,gentle,Technical,work,smart worker,yes,no,Database Developer
89,83,84,85,92,88,70,74,73,10,6,6,9,7,yes,yes,no,shell programming,hacking,yes,yes,excellent,excellent,networks,security,higherstudies,Testing and Maintainance Services,yes,no,Childrens,Work,no,gentle,Technical,work,smart worker,yes,no,Database Developer
60,84,75,77,88,60,74,69,93,10,8,6,7,9,no,no,no,hadoop,cloud computing,no,no,medium,poor,Computer Architecture,security,job,Testing and Maintainance Services,no,no,Comics,Work,yes,gentle,Management,salary,smart worker,yes,no,Database Developer
80,90,68,67,73,87,94,91,85,11,1,1,6,2,no,no,yes,app development,hacking,yes,yes,medium,poor,IOT,Business process analyst,job,Web Services,yes,yes,Science fiction,salary,yes,gentle,Management,salary,hard worker,no,yes,Database Developer
81,63,90,63,64,77,66,91,81,4,6,0,6,3,yes,yes,yes,hadoop,database security,no,yes,poor,medium,programming,security,higherstudies,Web Services,yes,no,Autobiographies,Work,no,gentle,Management,work,hard worker,no,no,Database Developer
94,65,74,93,83,71,91,70,76,8,1,2,1,2,no,no,no,r programming,testing,yes,yes,excellent,poor,IOT,developer,job,SAaS services,yes,no,Encyclopedias,salary,no,stubborn,Management,salary,hard worker,yes,yes,Database Developer
68,62,79,89,89,72,68,80,67,12,1,4,3,2,no,yes,no,information security,data science,yes,yes,excellent,poor,parallel computing,system developer,higherstudies,Product based,no,no,Self help,Work,no,gentle,Management,salary,smart worker,yes,no,Database Developer
89,70,61,77,71,76,78,78,91,8,8,2,5,2,no,no,no,hadoop,web technologies,no,yes,poor,excellent,Software Engineering,cloud computing,job,Web Services,no,no,Religion-Spirituality,Work,yes,gentle,Technical,salary,hard worker,no,yes,Database Developer
63,81,86,61,89,66,86,75,72,6,6,4,8,4,yes,yes,no,python,cloud computing,yes,yes,excellent,excellent,parallel computing,testing,higherstudies,Web Services,yes,no,Art,salary,yes,gentle,Management,salary,smart worker,yes,yes,Database Developer
92,66,69,67,60,78,71,64,74,7,3,3,9,7,no,no,yes,machine learning,data science,no,no,poor,excellent,programming,system developer,job,Finance,yes,no,Encyclopedias,salary,yes,stubborn,Technical,work,hard worker,no,yes,Database Developer
69,87,88,70,85,93,85,93,94,10,8,6,2,1,no,no,no,full stack,cloud computing,yes,yes,poor,poor,IOT,developer,job,Cloud Services,no,yes,Prayer books,Work,yes,gentle,Management,salary,hard worker,yes,yes,Database Developer
72,78,80,85,60,80,72,80,85,8,5,0,8,8,no,yes,no,r programming,game development,no,no,medium,medium,Management,Business process analyst,job,BPA,no,yes,Health,Work,no,stubborn,Technical,work,hard worker,no,no,Database Developer
88,66,79,86,88,64,92,65,74,8,2,5,2,1,no,no,no,machine learning,database security,yes,no,poor,excellent,networks,system developer,higherstudies,Testing and Maintainance Services,no,no,Autobiographies,salary,yes,stubborn,Management,work,smart worker,no,no,Database Developer
71,80,87,82,63,92,84,75,67,6,9,1,7,9,yes,no,no,distro making,data science,yes,yes,excellent,excellent,parallel computing,Business process analyst,job,Testing and Maintainance Services,yes,yes,Prayer books,salary,yes,stubborn,Management,salary,smart worker,yes,no,Database Developer
63,78,90,80,84,64,60,60,77,5,6,0,7,4,yes,yes,no,python,cloud computing,yes,no,medium,excellent,Software Engineering,cloud computing,job,Sales and Marketing,no,no,Comics,Work,yes,gentle,Technical,salary,hard worker,yes,no,Database Developer
81,65,79,69,82,61,67,61,61,8,5,6,3,3,no,yes,no,machine learning,data science,no,no,excellent,poor,Management,Business process analyst,job,Service Based,no,no,Science,salary,yes,gentle,Technical,work,hard worker,yes,yes,Database Developer
70,60,73,68,91,81,86,92,94,8,7,4,1,7,yes,no,no,shell programming,cloud computing,yes,no,excellent,medium,hacking,system developer,higherstudies,Product based,yes,yes,Biographies,Work,no,stubborn,Technical,salary,smart worker,yes,yes,Database Developer
79,75,63,68,71,87,66,74,66,8,4,6,5,4,yes,yes,no,hadoop,game development,no,yes,excellent,medium,Management,system developer,higherstudies,Service Based,yes,no,Self help,salary,no,stubborn,Management,work,smart worker,no,no,Database Developer
86,66,67,76,75,73,83,91,83,9,9,4,6,5,no,no,yes,full stack,web technologies,yes,yes,excellent,medium,cloud computing,system developer,higherstudies,Finance,no,no,Fantasy,salary,yes,gentle,Management,work,hard worker,yes,yes,Database Developer
60,80,88,69,64,75,61,75,91,5,1,4,3,5,no,no,no,full stack,testing,yes,no,medium,poor,parallel computing,Business process analyst,higherstudies,SAaS services,no,no,History,Work,yes,gentle,Technical,work,hard worker,yes,yes,Database Developer
88,88,85,84,86,67,83,92,75,5,6,1,2,5,yes,yes,yes,python,game development,yes,yes,excellent,excellent,Computer Architecture,security,job,Finance,yes,yes,Biographies,salary,yes,gentle,Technical,salary,hard worker,no,yes,Database Developer
76,93,94,64,79,61,65,69,67,4,8,4,2,7,no,no,no,information security,game development,yes,no,medium,poor,hacking,Business process analyst,job,Sales and Marketing,yes,yes,Mystery,salary,no,gentle,Management,salary,hard worker,yes,no,Database Developer
90,87,79,72,74,63,68,86,65,12,3,6,6,3,yes,yes,yes,hadoop,system designing,no,no,excellent,excellent,cloud computing,cloud computing,job,Testing and Maintainance Services,no,no,Cookbooks,salary,yes,stubborn,Management,salary,hard worker,yes,no,Database Developer
92,66,62,77,72,78,83,88,63,12,7,6,8,2,yes,yes,no,information security,system designing,no,yes,poor,medium,Computer Architecture,Business process analyst,higherstudies,SAaS services,no,no,Guide,Work,no,gentle,Management,salary,smart worker,yes,yes,Database Developer
76,84,68,61,93,83,68,69,85,12,1,5,5,6,yes,no,no,information security,database security,no,no,excellent,poor,networks,developer,job,Cloud Services,no,yes,Poetry,Work,no,gentle,Technical,work,smart worker,no,no,Database Developer
76,77,82,70,64,68,82,79,82,9,5,4,5,7,yes,no,no,distro making,database security,yes,no,poor,poor,Computer Architecture,cloud computing,higherstudies,Service Based,yes,yes,Journals,salary,no,gentle,Technical,work,hard worker,no,no,Database Developer
87,65,69,88,72,90,73,63,84,9,6,1,4,8,no,yes,no,shell programming,hacking,no,no,excellent,poor,Computer Architecture,cloud computing,higherstudies,BPA,no,yes,Encyclopedias,salary,yes,gentle,Management,work,hard worker,no,yes,Database Developer
76,71,73,76,66,66,82,87,85,10,3,5,2,7,no,yes,no,full stack,cloud computing,no,yes,poor,medium,networks,Business process analyst,higherstudies,Finance,yes,yes,Mystery,Work,yes,stubborn,Technical,salary,hard worker,no,no,Database Developer
92,81,94,62,72,62,80,84,72,4,5,5,8,5,no,no,yes,full stack,database security,no,no,medium,excellent,networks,developer,job,Cloud Services,yes,no,Comics,Work,yes,stubborn,Technical,salary,hard worker,no,no,Database Developer
67,90,67,62,86,81,65,70,67,11,9,2,8,2,yes,yes,no,machine learning,data science,yes,no,medium,excellent,Management,security,higherstudies,Product based,yes,no,Math,Work,yes,stubborn,Technical,work,smart worker,no,no,Database Developer
79,86,73,70,62,80,64,85,73,6,8,4,8,1,no,no,no,distro making,testing,no,yes,excellent,medium,hacking,Business process analyst,job,Finance,yes,yes,Cookbooks,salary,yes,gentle,Management,work,smart worker,yes,yes,Database Developer
94,60,76,62,89,94,81,70,75,7,7,1,6,5,yes,no,no,full stack,web technologies,no,yes,medium,medium,networks,security,job,Sales and Marketing,yes,yes,Childrens,Work,no,gentle,Technical,salary,smart worker,yes,yes,Database Developer
73,93,89,86,69,78,64,88,88,10,5,0,8,8,no,no,yes,r programming,database security,yes,yes,poor,medium,networks,cloud computing,higherstudies,Web Services,no,yes,Cookbooks,salary,no,gentle,Management,salary,smart worker,no,no,Database Developer
78,86,73,94,80,88,67,73,90,12,7,5,2,6,no,no,yes,python,cloud computing,yes,no,medium,poor,programming,testing,job,Testing and Maintainance Services,no,yes,Trilogy,Work,yes,stubborn,Management,salary,smart worker,no,yes,Database Developer
92,93,90,72,76,65,87,94,71,5,5,4,5,5,yes,yes,yes,r programming,cloud computing,yes,no,poor,medium,cloud computing,security,higherstudies,Cloud Services,yes,yes,Journals,salary,no,stubborn,Management,salary,smart worker,yes,yes,Database Developer
78,92,71,63,61,74,83,68,89,7,5,6,7,3,no,yes,yes,hadoop,web technologies,no,no,medium,poor,networks,developer,higherstudies,BPA,no,no,Religion-Spirituality,Work,yes,gentle,Management,work,smart worker,yes,no,Database Developer
83,86,79,89,88,62,67,86,91,11,3,1,9,1,yes,no,no,machine learning,web technologies,yes,no,excellent,excellent,data engineering,testing,higherstudies,SAaS services,yes,no,Math,salary,no,stubborn,Technical,work,smart worker,no,yes,Database Developer
63,79,60,92,70,84,66,62,71,9,5,3,4,4,no,no,yes,machine learning,testing,no,yes,poor,poor,Management,system developer,job,Product based,no,yes,Science fiction,Work,yes,stubborn,Management,work,hard worker,yes,no,Database Developer
69,88,69,65,79,88,91,94,74,10,3,3,9,3,no,no,yes,machine learning,hacking,yes,yes,poor,medium,programming,system developer,higherstudies,Web Services,yes,yes,Childrens,salary,no,stubborn,Management,salary,smart worker,yes,yes,Database Developer
66,83,87,73,79,70,92,86,91,6,5,2,1,6,yes,yes,no,machine learning,system designing,no,yes,excellent,poor,programming,system developer,higherstudies,Sales and Marketing,no,no,Travel,salary,no,stubborn,Management,salary,smart worker,no,yes,Database Developer
76,76,81,87,85,71,66,77,84,9,5,6,1,4,yes,no,yes,distro making,data science,no,yes,excellent,poor,Software Engineering,Business process analyst,higherstudies,Cloud Services,no,yes,Art,Work,no,stubborn,Technical,work,smart worker,yes,no,Database Developer
93,71,73,81,78,88,93,91,65,10,6,5,2,5,yes,yes,no,app development,testing,yes,no,excellent,medium,Software Engineering,system developer,higherstudies,Testing and Maintainance Services,yes,no,Comics,Work,yes,gentle,Technical,work,hard worker,yes,no,Database Developer
91,61,79,90,76,92,70,76,93,7,3,1,6,9,yes,yes,yes,shell programming,cloud computing,yes,no,poor,poor,Management,security,job,Cloud Services,no,no,Horror,salary,yes,gentle,Management,salary,smart worker,yes,no,Database Developer
78,67,92,87,86,83,73,73,93,5,8,6,2,7,no,no,yes,hadoop,game development,no,yes,excellent,excellent,networks,Business process analyst,job,Product based,yes,yes,Romance,Work,yes,stubborn,Technical,salary,smart worker,yes,yes,Database Developer
79,68,82,71,82,85,74,87,81,8,2,4,7,8,yes,yes,no,full stack,system designing,yes,no,excellent,medium,data engineering,testing,job,Sales and Marketing,yes,no,Trilogy,salary,no,stubborn,Technical,salary,hard worker,no,no,Database Developer
66,75,80,65,68,61,81,60,74,8,5,1,8,2,no,yes,yes,machine learning,cloud computing,no,yes,poor,medium,Computer Architecture,system developer,higherstudies,BPA,yes,yes,Autobiographies,Work,yes,gentle,Technical,salary,smart worker,yes,yes,Database Developer
90,89,79,70,76,81,77,65,73,12,9,0,7,1,no,yes,no,shell programming,cloud computing,no,yes,excellent,medium,networks,testing,job,Product based,no,no,Horror,salary,yes,gentle,Management,salary,smart worker,yes,yes,Database Developer
73,63,91,91,77,93,82,63,86,11,7,4,6,6,no,yes,no,hadoop,testing,yes,yes,excellent,poor,cloud computing,testing,higherstudies,product development,yes,yes,Self help,Work,yes,stubborn,Technical,work,smart worker,no,yes,Database Developer
68,86,94,77,91,90,74,70,66,5,6,4,8,7,yes,yes,yes,machine learning,cloud computing,no,no,medium,poor,hacking,cloud computing,job,Service Based,no,yes,Encyclopedias,salary,yes,stubborn,Management,salary,smart worker,yes,no,Database Developer
61,81,72,60,64,61,85,81,62,4,1,3,1,9,yes,no,yes,hadoop,web technologies,yes,no,excellent,medium,programming,testing,higherstudies,Sales and Marketing,yes,yes,Autobiographies,salary,no,stubborn,Management,work,hard worker,no,yes,Database Developer
75,73,83,67,62,77,72,62,72,10,8,4,1,9,yes,no,yes,r programming,data science,yes,yes,poor,excellent,IOT,testing,higherstudies,product development,yes,yes,Health,Work,no,stubborn,Management,work,smart worker,no,no,Database Developer
60,87,65,91,63,67,86,60,60,7,6,2,6,9,yes,no,no,hadoop,data science,yes,no,poor,poor,IOT,Business process analyst,higherstudies,BPA,no,no,Biographies,salary,no,gentle,Technical,salary,smart worker,no,yes,Database Developer
89,71,80,82,91,68,94,61,70,11,4,5,8,7,yes,no,no,python,hacking,no,no,excellent,medium,networks,testing,higherstudies,BPA,no,yes,Cookbooks,Work,yes,stubborn,Technical,work,smart worker,no,no,Database Developer
86,89,86,65,61,91,65,79,70,4,2,5,8,8,no,no,no,python,web technologies,yes,yes,poor,medium,IOT,Business process analyst,higherstudies,Service Based,no,no,History,Work,yes,stubborn,Management,salary,hard worker,no,no,Database Developer
92,86,89,92,62,83,77,71,66,4,4,1,3,9,no,yes,no,shell programming,game development,no,yes,medium,poor,data engineering,Business process analyst,higherstudies,Product based,no,yes,Diaries,Work,yes,stubborn,Management,work,smart worker,no,no,Database Developer
80,66,86,87,71,60,83,84,67,10,2,1,8,1,no,yes,no,r programming,testing,yes,no,medium,excellent,IOT,system developer,job,Sales and Marketing,no,no,Journals,salary,yes,gentle,Management,salary,smart worker,yes,no,Database Developer
90,74,78,60,93,82,73,61,89,8,5,5,5,1,yes,yes,yes,information security,cloud computing,yes,no,excellent,medium,networks,Business process analyst,higherstudies,Web Services,no,yes,Drama,Work,no,stubborn,Technical,work,smart worker,no,no,Database Developer
70,76,77,86,81,73,83,89,78,4,6,1,3,7,yes,yes,yes,information security,database security,no,no,poor,medium,parallel computing,Business process analyst,job,Sales and Marketing,no,no,Cookbooks,salary,yes,gentle,Management,work,smart worker,no,no,Database Developer
70,64,82,60,85,88,72,80,76,10,6,0,3,7,yes,no,no,hadoop,cloud computing,yes,no,medium,poor,data engineering,system developer,job,Service Based,yes,yes,Encyclopedias,Work,yes,stubborn,Management,salary,smart worker,yes,no,Database Developer
69,61,86,89,86,72,93,64,79,6,1,2,6,6,no,yes,yes,full stack,game development,no,yes,medium,medium,IOT,cloud computing,job,BPA,yes,no,Art,salary,yes,stubborn,Technical,work,hard worker,no,yes,Database Developer
83,75,79,84,65,75,62,87,92,12,8,1,9,9,no,no,no,r programming,cloud computing,no,yes,excellent,poor,Computer Architecture,security,higherstudies,Cloud Services,yes,yes,Journals,Work,no,stubborn,Technical,work,hard worker,no,no,Database Developer
67,77,94,78,92,69,63,63,76,7,3,4,8,2,yes,yes,yes,r programming,web technologies,yes,yes,medium,excellent,networks,developer,job,Web Services,no,yes,Cookbooks,Work,no,gentle,Management,salary,hard worker,yes,yes,Database Developer
67,73,60,92,79,84,89,82,65,5,6,6,3,6,yes,yes,no,r programming,web technologies,yes,no,medium,poor,cloud computing,system developer,job,Finance,no,yes,Science,salary,no,gentle,Technical,salary,hard worker,yes,yes,Database Developer
74,67,75,60,79,75,69,88,70,7,2,0,3,8,yes,yes,yes,hadoop,system designing,yes,yes,poor,poor,programming,cloud computing,higherstudies,Testing and Maintainance Services,yes,no,Guide,salary,no,stubborn,Technical,work,smart worker,yes,yes,Database Developer
71,71,94,89,89,62,84,78,94,12,1,0,6,7,yes,no,no,hadoop,hacking,no,no,poor,medium,Software Engineering,Business process analyst,job,Sales and Marketing,yes,yes,Mystery,salary,yes,gentle,Management,salary,hard worker,no,no,Database Developer
91,70,63,86,92,94,71,74,87,6,5,1,1,5,yes,no,yes,information security,testing,no,no,excellent,medium,Computer Architecture,cloud computing,job,Finance,no,yes,Science,Work,no,gentle,Technical,work,smart worker,no,yes,Database Developer
69,62,64,84,87,75,70,74,91,8,6,1,5,5,no,yes,no,app development,cloud computing,no,yes,medium,poor,parallel computing,cloud computing,job,BPA,yes,yes,Self help,Work,yes,stubborn,Technical,work,hard worker,no,yes,Database Developer
80,83,65,87,75,88,91,60,83,5,7,4,4,5,no,no,no,distro making,game development,yes,no,medium,poor,programming,developer,higherstudies,Web Services,yes,yes,Journals,salary,no,gentle,Technical,work,smart worker,no,no,Database Developer
79,86,93,70,82,88,83,66,84,6,5,5,4,6,yes,yes,yes,information security,hacking,yes,no,excellent,medium,Computer Architecture,Business process analyst,higherstudies,product development,no,yes,Art,Work,no,stubborn,Technical,work,hard worker,yes,no,Database Developer
76,78,89,77,65,68,68,63,62,10,5,1,8,7,yes,no,yes,machine learning,data science,yes,yes,poor,poor,Computer Architecture,cloud computing,higherstudies,Cloud Services,no,no,Science,Work,no,stubborn,Management,salary,hard worker,no,no,Database Developer
87,92,72,73,92,80,78,73,79,10,6,5,7,3,no,yes,no,shell programming,system designing,yes,yes,excellent,excellent,IOT,cloud computing,higherstudies,BPA,yes,no,Cookbooks,Work,yes,gentle,Management,work,hard worker,no,no,Database Developer
89,78,91,85,66,94,92,77,79,7,5,4,9,2,no,no,no,full stack,web technologies,no,yes,excellent,excellent,programming,developer,job,Finance,yes,no,Mystery,salary,yes,gentle,Management,work,hard worker,yes,no,Database Developer
86,86,81,86,67,73,77,65,69,4,6,6,1,3,yes,yes,no,distro making,database security,no,yes,excellent,excellent,Computer Architecture,testing,job,Web Services,no,yes,Comics,salary,yes,stubborn,Technical,salary,smart worker,no,no,Database Developer
90,70,89,65,83,63,64,85,65,5,8,2,5,3,no,no,yes,information security,system designing,yes,yes,medium,excellent,hacking,testing,higherstudies,Web Services,yes,no,Childrens,salary,yes,gentle,Management,salary,hard worker,yes,no,Database Developer
88,77,85,93,61,90,64,85,87,5,2,2,3,4,no,no,yes,app development,testing,yes,yes,poor,poor,Computer Architecture,security,higherstudies,SAaS services,yes,no,Fantasy,Work,no,stubborn,Technical,salary,hard worker,yes,no,Database Developer
81,66,87,78,82,72,83,67,94,4,2,5,8,9,no,no,no,information security,cloud computing,no,no,poor,medium,parallel computing,testing,job,Sales and Marketing,yes,yes,Encyclopedias,salary,yes,gentle,Management,salary,smart worker,yes,yes,Database Developer
82,70,81,81,71,66,64,77,77,5,3,3,5,1,no,yes,no,python,data science,no,no,excellent,poor,cloud computing,system developer,job,Service Based,no,no,Autobiographies,Work,no,gentle,Management,salary,smart worker,yes,yes,Database Developer
65,70,65,82,67,74,62,60,82,6,6,0,7,3,yes,yes,yes,python,system designing,yes,no,excellent,medium,Management,Business process analyst,job,Finance,no,no,Guide,Work,no,gentle,Management,salary,smart worker,no,yes,Database Developer
82,94,77,82,60,76,85,76,68,9,7,4,4,1,yes,yes,no,full stack,cloud computing,no,yes,poor,poor,data engineering,testing,higherstudies,Product based,no,no,Trilogy,Work,no,gentle,Management,salary,hard worker,no,yes,Database Developer
79,64,90,60,91,64,71,63,94,12,6,3,6,2,yes,yes,yes,machine learning,database security,no,no,medium,excellent,data engineering,system developer,higherstudies,BPA,no,yes,Religion-Spirituality,Work,no,stubborn,Technical,salary,smart worker,no,no,Database Developer
64,79,93,92,65,92,67,62,80,5,6,4,6,8,yes,no,yes,full stack,cloud computing,yes,no,medium,poor,Software Engineering,Business process analyst,job,Service Based,yes,yes,Health,salary,yes,stubborn,Technical,salary,smart worker,no,no,Database Developer
72,92,60,94,85,81,83,82,91,10,2,6,7,4,no,yes,yes,app development,database security,yes,yes,medium,medium,data engineering,Business process analyst,job,Finance,yes,yes,Cookbooks,salary,yes,gentle,Management,work,smart worker,yes,yes,Database Developer
90,73,88,92,88,93,74,85,63,6,6,5,8,4,no,no,yes,information security,hacking,no,no,excellent,poor,data engineering,Business process analyst,higherstudies,Service Based,no,yes,Romance,salary,no,stubborn,Management,work,hard worker,yes,yes,Database Developer
66,86,60,73,78,71,91,81,94,11,2,3,6,4,no,yes,yes,information security,game development,no,no,poor,medium,data engineering,Business process analyst,job,product development,yes,yes,Satire,Work,yes,gentle,Management,work,hard worker,yes,yes,Database Developer
61,69,87,80,73,84,80,82,72,8,7,5,4,7,yes,no,no,r programming,game development,no,no,poor,poor,IOT,cloud computing,job,Cloud Services,no,no,Dictionaries,salary,yes,stubborn,Technical,work,hard worker,yes,no,Database Developer
85,86,80,66,91,77,84,84,84,6,2,1,2,8,yes,no,no,r programming,hacking,yes,no,poor,poor,Software Engineering,testing,job,SAaS services,yes,yes,Series,salary,yes,gentle,Technical,work,hard worker,yes,no,Database Developer
77,82,82,73,93,92,94,77,92,10,6,1,5,7,yes,no,no,distro making,testing,yes,yes,excellent,excellent,parallel computing,developer,job,BPA,yes,yes,Guide,salary,yes,stubborn,Management,salary,hard worker,no,yes,Database Developer
60,85,82,94,72,72,91,81,71,7,9,2,7,1,no,no,yes,shell programming,database security,no,yes,medium,excellent,Computer Architecture,security,job,product development,no,yes,Action and Adventure,salary,no,stubborn,Technical,work,smart worker,yes,yes,Database Developer
83,83,93,78,67,62,91,74,63,6,7,1,3,6,no,no,yes,python,data science,no,yes,medium,poor,IOT,cloud computing,higherstudies,product development,no,no,Satire,Work,yes,stubborn,Management,work,hard worker,yes,no,Database Developer
